,macr_50
MAP@1,0.1418570701329322
MAP@3,0.2118078170233343
MAP@5,0.253217276337966
NDCG@1,0.4
NDCG@3,0.34714044767414975
NDCG@5,0.3665929390197553
Recall@1,0.1418570701329322
Recall@3,0.24784804276183586
Recall@5,0.35153701662322356
