,cjmf_50
MAP@1,0.12513840565564702
MAP@3,0.18995503538606986
MAP@5,0.23283505287815637
NDCG@1,0.3448275862068966
NDCG@3,0.3148330433502323
NDCG@5,0.34178210771016737
Recall@1,0.12513840565564702
Recall@3,0.22714901956281264
Recall@5,0.33613119638981703
